Bedroom,LGA,Period,Affordable,Percent
1br,Ballarat,2004-06-01 00:00:00,61,0.859
1br,Ballarat,2004-09-01 00:00:00,74,0.841
1br,Ballarat,2004-12-01 00:00:00,68,0.829
1br,Ballarat,2005-03-01 00:00:00,83,0.769
1br,Ballarat,2005-06-01 00:00:00,54,0.931
1br,Ballarat,2005-09-01 00:00:00,58,0.795
1br,Ballarat,2005-12-01 00:00:00,61,0.859
1br,Ballarat,2006-03-01 00:00:00,69,0.784
1br,Ballarat,2006-06-01 00:00:00,60,0.769
1br,Ballarat,2006-09-01 00:00:00,61,0.744
1br,Ballarat,2006-12-01 00:00:00,42,0.656
1br,Ballarat,2007-03-01 00:00:00,57,0.663
1br,Ballarat,2007-06-01 00:00:00,59,0.711
1br,Ballarat,2007-09-01 00:00:00,50,0.833
1br,Ballarat,2007-12-01 00:00:00,59,0.738
1br,Ballarat,2008-03-01 00:00:00,63,0.685
1br,Ballarat,2008-06-01 00:00:00,42,0.618
1br,Ballarat,2008-09-01 00:00:00,42,0.583
1br,Ballarat,2008-12-01 00:00:00,41,0.631
1br,Ballarat,2009-03-01 00:00:00,44,0.458
1br,Ballarat,2009-06-01 00:00:00,39,0.433
1br,Ballarat,2009-09-01 00:00:00,32,0.416
1br,Ballarat,2009-12-01 00:00:00,33,0.34
1br,Ballarat,2010-03-01 00:00:00,37,0.366
1br,Ballarat,2010-06-01 00:00:00,21,0.3
1br,Ballarat,2010-09-01 00:00:00,26,0.302
1br,Ballarat,2010-12-01 00:00:00,32,0.464
1br,Ballarat,2011-03-01 00:00:00,33,0.347
1br,Ballarat,2011-06-01 00:00:00,13,0.178
1br,Ballarat,2011-09-01 00:00:00,21,0.3
1br,Ballarat,2011-12-01 00:00:00,14,0.187
1br,Ballarat,2012-03-01 00:00:00,25,0.275
1br,Ballarat,2012-06-01 00:00:00,20,0.202
1br,Ballarat,2012-09-01 00:00:00,12,0.143
1br,Ballarat,2012-12-01 00:00:00,18,0.212
1br,Ballarat,2013-03-01 00:00:00,17,0.175
1br,Ballarat,2013-06-01 00:00:00,24,0.231
1br,Ballarat,2013-09-01 00:00:00,18,0.286
1br,Ballarat,2014-03-01 00:00:00,24,0.229
1br,Ballarat,2014-06-01 00:00:00,26,0.295
1br,Ballarat,2014-09-01 00:00:00,25,0.284
1br,Ballarat,2014-12-01 00:00:00,19,0.279
1br,Ballarat,2015-03-01 00:00:00,22,0.256
1br,Ballarat,2015-06-01 00:00:00,21,0.259
1br,Ballarat,2015-09-01 00:00:00,19,0.221
1br,Ballarat,2015-12-01 00:00:00,8,0.127
1br,Ballarat,2016-03-01 00:00:00,15,0.152
1br,Ballarat,2016-06-01 00:00:00,19,0.196
1br,Ballarat,2016-09-01 00:00:00,15,0.185
1br,Ballarat,2016-12-01 00:00:00,10,0.161
1br,Ballarat,2017-03-01 00:00:00,8,0.111
1br,Ballarat,2017-09-01 00:00:00,13,0.203
1br,Ballarat,2017-12-01 00:00:00,11,0.157
1br,Ballarat,2018-03-01 00:00:00,12,0.167
1br,Ballarat,2018-06-01 00:00:00,6,0.105
1br,Ballarat,2018-09-01 00:00:00,11,0.177
1br,Ballarat,2018-12-01 00:00:00,13,0.21
1br,Ballarat,2019-03-01 00:00:00,3,0.055
1br,Ballarat,2019-06-01 00:00:00,6,0.122
1br,Ballarat,2019-09-01 00:00:00,9,0.145
1br,Ballarat,2019-12-01 00:00:00,5,0.085
1br,Ballarat,2020-03-01 00:00:00,7,0.092
1br,Ballarat,2020-06-01 00:00:00,3,0.061
1br,Ballarat,2020-09-01 00:00:00,5,0.089
1br,Ballarat,2020-12-01 00:00:00,6,0.097
1br,Ballarat,2021-03-01 00:00:00,3,0.065
1br,Ballarat,2021-06-01 00:00:00,4,0.075
1br,Ballarat,2021-09-01 00:00:00,3,0.071
1br,Ballarat,2021-12-01 00:00:00,3,0.052
1br,Ballarat,2022-03-01 00:00:00,4,0.078
1br,Ballarat,2022-06-01 00:00:00,1,0.03
1br,Ballarat,2022-09-01 00:00:00,5,0.086
1br,Ballarat,2022-12-01 00:00:00,2,0.047
1br,Ballarat,2023-03-01 00:00:00,5,0.088
1br,Ballarat,2023-06-01 00:00:00,4,0.098
1br,Ballarat,2023-09-01 00:00:00,1,0.02
1br,Ballarat,2023-12-01 00:00:00,19,0.268
1br,Ballarat,2024-03-01 00:00:00,2,0.034
1br,Ballarat,2024-06-01 00:00:00,5,0.093
1br,Ballarat,2024-09-01 00:00:00,3,0.063
1br,Ballarat,2024-12-01 00:00:00,7,0.135
1br,Ballarat,2025-03-01 00:00:00,6,0.118
1br,Banyule,2000-03-01 00:00:00,5,0.083
1br,Banyule,2000-06-01 00:00:00,3,0.094
1br,Banyule,2000-09-01 00:00:00,3,0.079
1br,Banyule,2000-12-01 00:00:00,6,0.167
1br,Banyule,2001-03-01 00:00:00,3,0.097
1br,Banyule,2001-06-01 00:00:00,4,0.1
1br,Banyule,2001-09-01 00:00:00,1,0.036
